Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019
68361.0,5113.0,753.0,906.0,208000.0,1642.0,25,1005,67302.0,5128.0,831.0,965.0,236400.0,1555.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1380.5728,1342.01,0.24234393294422257,0.2392814478024427
43583.0,1389.0,599.0,758.0,196800.0,1473.0,25,1031,38173.0,1135.0,734.0,901.0,198500.0,1400.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1219.0319999999997,1219.8609999999999,0.33564426496569755,0.38347344982055376
80577.0,1791.0,775.0,1039.0,257100.0,1757.0,25,1068,88571.0,1833.0,942.0,1153.0,294800.0,1919.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1501.9663999999998,1642.474,0.22368165605569823,0.22252981224102697
37126.0,3108.0,665.0,823.0,199600.0,1573.0,25,1083,60323.0,3094.0,640.0,682.0,220000.0,1444.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1306.6,1168.918,0.4223239778053116,0.2325318037895993
48679.0,1078.0,538.0,538.0,250600.0,1487.0,25,1092,108725.0,1278.0,679.0,958.0,215200.0,1525.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1149.9152,1320.313,0.2834688962386244,0.145723209933318
51002.0,13264.0,577.0,708.0,154500.0,1416.0,25,1331,57987.0,13486.0,724.0,889.0,165400.0,1400.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1164.5183999999997,1215.529,0.2739935845653111,0.25154513942780277
72917.0,1355.0,831.0,870.0,291400.0,1654.0,25,1366,71484.0,1188.0,744.0,960.0,287400.0,1727.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1375.5231999999999,1450.113,0.2263707832192767,0.2434300822561692
60568.0,1230.0,742.0,1067.0,195800.0,1361.0,25,1368,76250.0,1377.0,761.0,871.0,241900.0,1478.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1256.5711999999999,1258.873,0.2489574428741249,0.19811771803278688
46628.0,40419.0,699.0,860.0,185900.0,1680.0,25,1420,57207.0,40702.0,805.0,1016.0,196600.0,1652.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1388.7359999999999,1422.404,0.3573996740156129,0.2983699197650637
85662.0,6133.0,941.0,978.0,239300.0,1811.0,25,1430,95037.0,6297.0,1500.0,1636.0,265000.0,1791.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1515.1183999999998,1735.0449999999998,0.21224604608811376,0.2190782537327567
