Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019,Population Growth,Population Growth %,Change in Income,Change in Income %,Change in Weighted Cost,Change in Weighted Cost %,Change in Affordability,Change in Affordability %
68361.0,5113.0,753.0,906.0,208000,1642.0,25,1005,67302.0,5128.0,831.0,965.0,236400,1555.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1380.5728,1342.01,0.24234393294422257,0.2392814478024427,15.0,0.0029336984158028555,-1059.0,-0.015491288892789749,-38.562799999999925,-0.027932463974373482,-0.0030624851417798693,-0.012636937531606064
43583.0,1389.0,599.0,758.0,196800,1473.0,25,1031,38173.0,1135.0,734.0,901.0,198500,1400.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1219.0319999999997,1219.8609999999999,0.33564426496569755,0.38347344982055376,-254.0,-0.18286537077033838,-5410.0,-0.124130968496891,0.8290000000001783,0.0006800477756122714,0.04782918485485621,0.14249963383031228
80577.0,1791.0,775.0,1039.0,257100,1757.0,25,1068,88571.0,1833.0,942.0,1153.0,294800,1919.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1501.9663999999998,1642.474,0.22368165605569823,0.22252981224102697,42.0,0.023450586264656615,7994.0,0.09920945182868561,140.50760000000014,0.09354909670416073,-0.0011518438146712606,-0.005149478213736239
37126.0,3108.0,665.0,823.0,199600,1573.0,25,1083,60323.0,3094.0,640.0,682.0,220000,1444.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1306.6,1168.918,0.4223239778053116,0.2325318037895993,-14.0,-0.0045045045045045045,23197.0,0.6248181867155094,-137.68200000000002,-0.10537425378845862,-0.1897921740157123,-0.4493994752606852
48679.0,1078.0,538.0,538.0,250600,1487.0,25,1092,108725.0,1278.0,679.0,958.0,215200,1525.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1149.9152,1320.313,0.2834688962386244,0.145723209933318,200.0,0.18552875695732837,60046.0,1.233509316132213,170.3978000000002,0.1481829268801736,-0.13774568630530643,-0.48592874961968296
51002.0,13264.0,577.0,708.0,154500,1416.0,25,1331,57987.0,13486.0,724.0,889.0,165400,1400.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1164.5183999999997,1215.529,0.2739935845653111,0.25154513942780277,222.0,0.016737032569360676,6985.0,0.13695541351319557,51.010600000000295,0.04380403091956324,-0.02244844513750832,-0.08193055021022709
72917.0,1355.0,831.0,870.0,291400,1654.0,25,1366,71484.0,1188.0,744.0,960.0,287400,1727.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1375.5231999999999,1450.113,0.2263707832192767,0.2434300822561692,-167.0,-0.12324723247232472,-1433.0,-0.019652481588655596,74.5898000000002,0.0542264935989449,0.01705929903689249,0.07535998592348289
60568.0,1230.0,742.0,1067.0,195800,1361.0,25,1368,76250.0,1377.0,761.0,871.0,241900,1478.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1256.5711999999999,1258.873,0.2489574428741249,0.19811771803278688,147.0,0.11951219512195121,15682.0,0.2589155989961696,2.301800000000185,0.0018318102468051034,-0.05083972484133803,-0.20421050382913455
46628.0,40419.0,699.0,860.0,185900,1680.0,25,1420,57207.0,40702.0,805.0,1016.0,196600,1652.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1388.7359999999999,1422.404,0.3573996740156129,0.2983699197650637,283.0,0.007001657636260174,10579.0,0.22688084412799175,33.66800000000012,0.02424362873865164,-0.05902975425054918,-0.1651645441847003
85662.0,6133.0,941.0,978.0,239300,1811.0,25,1430,95037.0,6297.0,1500.0,1636.0,265000,1791.0,49340.0,Worcester MA-CT,64.2,65.5,64.9,63.4,62.7,65.9,64.4,64.1,65.8,61.9,63.3,62.5,64.47999999999999,63.9,1515.1183999999998,1735.0449999999998,0.21224604608811376,0.2190782537327567,164.0,0.026740583727376487,9375.0,0.1094417594732787,219.9266,0.14515472850174616,0.006832207644642929,0.032190034964451324
