MANAME,Zip_count,Population_2014,Population_2019,Population_growth,Affordability_2019,Income_Growth,Weighted_Cost_Change,Affordability_Change,Population_growth_%
Akron OH,44,684698.0,684197.0,-501.0,0.2519945305498747,0.1500705113131532,0.015407865391969111,-0.11207807836617266,-0.0007317094543871896
Albany-Schenectady-Troy NY,97,901947.0,904693.0,2746.0,0.26061922097773466,0.15354587724110527,0.10448823212262143,-0.0276275478964318,0.003044524789150582
Albuquerque NM,41,889636.0,901623.0,11987.0,0.270180799842326,0.10442227242967136,0.050644640094979806,-0.027977119603321637,0.013474050060923793
Allentown-Bethlehem-Easton PA-NJ,65,832171.0,842967.0,10796.0,0.2646879542215311,0.1580704959239447,0.028259179894544482,-0.09499142728885193,0.012973295152078118
Atlanta-Sandy Springs-Roswell GA,210,5555455.0,5971811.0,416356.0,0.2585977847799866,0.1961012147847766,0.04229991908812255,-0.12029121880464713,0.07494543651240088
Austin-Round Rock TX,89,1872353.0,2153701.0,281348.0,0.2705160208519989,0.2459991610481843,0.1889952053980547,-0.03464340285426577,0.15026439992885957
Baltimore-Columbia-Towson MD,127,2715033.0,2754059.0,39026.0,0.2523284247752857,0.14475101000342835,0.05016490788533855,-0.07427313076606801,0.014374042599113897
Baton Rouge LA,58,793605.0,811173.0,17568.0,0.26339631627248,0.12744569879707363,0.11736606978861999,0.020293613305369128,0.02213695730243635
Birmingham-Hoover AL,103,1174402.0,1186444.0,12042.0,0.26841853959548256,0.15159833853295157,0.053987554533715794,-0.06462596419842823,0.010253729131932678
Boston-Cambridge-Newton MA-NH,262,4600390.0,4777694.0,177304.0,0.2753289408933221,0.21023551863063544,0.13360449143830633,-0.05386418530933722,0.03854108021276457
Bridgeport-Stamford-Norwalk CT,46,934224.0,944012.0,9788.0,0.29554774991723476,0.15316470951260924,0.07054850661331369,-0.06009849613548096,0.010477144667660004
Buffalo-Cheektowaga-Niagara Falls NY,78,1137604.0,1132576.0,-5028.0,0.24279839791009855,0.12196817651403666,0.05669503144729223,-0.0443983878958119,-0.004419815682785926
Charlotte-Concord-Gastonia NC-SC,110,2369868.0,2593255.0,223387.0,0.23648636354352953,0.22103072790034337,0.05121272558453758,-0.12888724412830702,0.09426136814371096
Chicago-Naperville-Elgin IL-IN-WI,383,9534508.0,9525043.0,-9465.0,0.2703776166335606,0.16713773103733567,0.04387394644705951,-0.09518792471166147,-0.0009927098493178672
Cincinnati OH-KY-IN,150,2258297.0,2298319.0,40022.0,0.24535584318056966,0.2053125573418288,0.01618406426332134,-0.14226904868084814,0.017722203943945372
Cleveland-Elyria OH,104,2122469.0,2111815.0,-10654.0,0.26065552289902927,0.14236646135017866,0.029146455681728748,-0.09001870135481752,-0.0050196257283380815
Columbia SC,49,817551.0,855683.0,38132.0,0.26212889317508115,0.16640860998882018,0.07018334843245462,-0.0440086178571682,0.04664173855820616
Columbus OH,134,2088021.0,2215643.0,127622.0,0.22597214681865163,0.22548065780551965,0.04650177588259707,-0.12605019503312628,0.061121032786547645
Dallas-Fort Worth-Arlington TX,267,6734982.0,7415666.0,680684.0,0.26478660773189816,0.18226069923685925,0.12763768583901502,-0.03433751766081032,0.10106693677874715
Dayton OH,58,818194.0,818860.0,666.0,0.2300474595560294,0.20738677560490823,0.003955648755938254,-0.1583685090793884,0.0008139878806248885
Denver-Aurora-Lakewood CO,112,2659523.0,2897411.0,237888.0,0.2576839077873882,0.22583947619673314,0.1636986073081113,-0.04006535136538731,0.0894476189903227
Detroit-Warren-Dearborn MI,212,4290637.0,4316827.0,26190.0,0.26157004419106655,0.17692182033570797,0.02753313133227394,-0.12052788957968916,0.0061039887550496585
Fresno CA,47,950392.0,986321.0,35929.0,0.3014706840566675,0.2401269617613771,0.06837351441298642,-0.10522818920968338,0.03780440071044369
Grand Rapids-Wyoming MI,78,1112135.0,1165542.0,53407.0,0.22406712486866923,0.19358860560999072,0.03180363450147239,-0.12205384215839668,0.04802204768306006
Greensboro-High Point NC,44,759860.0,787578.0,27718.0,0.2450350200685016,0.17804099874404639,0.05225334838061855,-0.09694729712955986,0.03647777222119864
Hartford-West Hartford-East Hartford CT,81,1194084.0,1184375.0,-9709.0,0.2627946013299732,0.1398482560267153,0.05873397772036958,-0.06299643303983368,-0.008130918762834106
Houston-The Woodlands-Sugar Land TX,217,6266447.0,6938112.0,671665.0,0.2781235668766357,0.1553367372735122,0.12635668593091942,-0.013702987636679783,0.10718434225965687
Indianapolis-Carmel-Anderson IN,123,2007972.0,2107681.0,99709.0,0.21843116990821945,0.1892850362863689,0.048506643316856626,-0.10721241738731889,0.04965656891629963
Jacksonville FL,59,1413268.0,1532955.0,119687.0,0.26315253280160117,0.20641193063168106,0.051701333401595495,-0.11193445541589139,0.08468811294106991
Kansas City MO-KS,190,2063753.0,2145389.0,81636.0,0.2353234261755123,0.17702491218788263,0.07298983312571938,-0.0729710963630268,0.039557059396158355
Las Vegas-Henderson-Paradise NV,66,2001581.0,2180500.0,178919.0,0.2665300546125586,0.14926144607087635,0.02452234122388706,-0.09954500992203318,0.0893888381234634
Los Angeles-Long Beach-Anaheim CA,359,13048701.0,13237188.0,188487.0,0.35198590398730034,0.21492456190879686,0.1321446422097311,-0.06113054129963586,0.01444488612314743
Louisville/Jefferson County KY-IN,87,1315608.0,1352666.0,37058.0,0.2409906886019804,0.15619250880450472,0.022292590603346436,-0.10790300300095107,0.028167964925722554
Memphis TN-MS-AR,82,1365037.0,1374812.0,9775.0,0.27023512126717575,0.15438179226998686,0.018136479300562076,-0.09735067111443613,0.007160978054074725
Miami-Fort Lauderdale-West Palm Beach FL,181,5799992.0,6115562.0,315570.0,0.355003723575319,0.1998287513500018,0.11175167832322523,-0.06553716107989739,0.05440869573613205
Milwaukee-Waukesha-West Allis WI,81,1578676.0,1588093.0,9417.0,0.2538193523998452,0.15034824451874546,0.029842008973794003,-0.09771670497635764,0.005965125206185437
Minneapolis-St. Paul-Bloomington MN-WI,245,3503136.0,3666324.0,163188.0,0.2368926907728997,0.18534252745513885,0.055900241330843,-0.10243613449610657,0.04658340412704502
Nashville-Davidson--Murfreesboro--Frankl,112,1833262.0,2005762.0,172500.0,0.24554215914309901,0.23998888645791916,0.11777877272578222,-0.07018457465396698,0.09409457022509603
New Haven-Milford CT,41,858925.0,852378.0,-6547.0,0.3215190168666586,0.1336173828280849,0.01844896816745703,-0.09594091334627082,-0.007622318595919318
New Orleans-Metairie LA,68,1226505.0,1267576.0,41071.0,0.31918698205910123,0.12280570181158357,0.09441878617719161,-0.007665675931357041,0.03348620674192115
New York-Newark-Jersey City NY-NJ-PA,855,19718777.0,19825848.0,107071.0,0.30199478011939895,0.17045361027722777,0.07654129954513832,-0.06957649560656498,0.005429900647489446
Oklahoma City OK,110,1336027.0,1419115.0,83088.0,0.23711732454258555,0.17672964470080874,0.09232487041030955,-0.05708571612914077,0.06219035992536079
Omaha-Council Bluffs NE-IA,116,927211.0,972045.0,44834.0,0.22237016876033946,0.18437893405326078,0.08443641664999901,-0.05820612620236498,0.04835361099037867
Orlando-Kissimmee-Sanford FL,86,2238232.0,2518808.0,280576.0,0.28444643226324934,0.20974190826697287,0.08673048070408915,-0.09605358177595943,0.12535608462393533
Philadelphia-Camden-Wilmington PA-NJ-DE-,310,5937403.0,6000260.0,62857.0,0.27095238264269955,0.1537415090830807,0.06064954720935356,-0.0680067364596643,0.010586615057121775
Phoenix-Mesa-Scottsdale AZ,152,4358202.0,4783733.0,425531.0,0.26178523430700024,0.1924742866572687,0.06624962195102266,-0.09726807700084271,0.09763911815009951
Pittsburgh PA,286,2415297.0,2378886.0,-36411.0,0.2348987690425977,0.18341833444638322,0.07618013926289947,-0.05912257298869061,-0.015075164669189752
Portland-Vancouver-Hillsboro OR-WA,115,2291674.0,2449637.0,157963.0,0.2715775823316477,0.2646477372248527,0.13534166122795818,-0.09445126124921283,0.06892908851782584
Providence-Warwick RI-MA,93,1579546.0,1593669.0,14123.0,0.26871359212253976,0.19300317704992714,0.04583103120372644,-0.10896191309022216,0.008941176768514497
Raleigh NC,52,1301248.0,1445848.0,144600.0,0.23640377492177828,0.22088238085389184,0.07261364600286907,-0.10898747984518205,0.11112409010426913
Richmond VA,79,1245679.0,1303895.0,58216.0,0.2513216089027451,0.1671124473461816,0.04720334403669284,-0.08641210659207695,0.046734351305593176
Riverside-San Bernardino-Ontario CA,138,4320583.0,4537604.0,217021.0,0.31523420390048384,0.16634177650167015,0.0427221836158194,-0.08809619851838414,0.05022956392690524
Rochester NY,105,1133338.0,1121962.0,-11376.0,0.23832423047395634,0.14135510618541258,0.07808583837646621,-0.048770047143360036,-0.010037605727505828
Sacramento--Roseville--Arden-Arcade CA,98,2222195.0,2342732.0,120537.0,0.2997364516644536,0.2224029874292222,0.08512439865003321,-0.10145757087818963,0.05424231446835224
Salt Lake City UT,39,1124959.0,1199868.0,74909.0,0.2473490812092976,0.24634377472767355,0.08924026863209394,-0.12187684095369505,0.06658820454789909
