Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019
10833.0,18088,282.0,367.0,105400.0,722.0,72,00601,14361.0,17113.0,292.0,383.0,83900.0,771.0
16353.0,40859,329.0,411.0,91200.0,843.0,72,00602,16807.0,37751.0,293.0,400.0,85300.0,877.0
16323.0,53162,267.0,369.0,128700.0,841.0,72,00603,16049.0,47081.0,328.0,433.0,118400.0,832.0
14138.0,6415,234.0,326.0,105800.0,569.0,72,00606,12119.0,6392.0,196.0,275.0,80800.0,526.0
17265.0,28805,324.0,419.0,113700.0,752.0,72,00610,19898.0,26686.0,338.0,427.0,87600.0,751.0
17752.0,66251,319.0,411.0,103400.0,780.0,72,00612,18741.0,59369.0,320.0,401.0,96700.0,753.0
15115.0,10466,273.0,454.0,98800.0,737.0,72,00616,17007.0,10022.0,285.0,370.0,93100.0,594.0
15461.0,24917,347.0,446.0,98400.0,765.0,72,00617,16984.0,23750.0,371.0,487.0,104500.0,760.0
14993.0,6589,417.0,564.0,139800.0,857.0,72,00622,14615.0,6741.0,244.0,344.0,118800.0,922.0
17044.0,44117,311.0,397.0,113800.0,802.0,72,00623,17130.0,41746.0,364.0,471.0,106600.0,749.0
15467.0,24902,279.0,385.0,84600.0,711.0,72,00624,16701.0,21936.0,312.0,431.0,76500.0,663.0
19490.0,34438,307.0,433.0,98900.0,778.0,72,00627,17000.0,31598.0,363.0,455.0,94400.0,746.0
9613.0,1847,218.0,289.0,85000.0,771.0,72,00631,10244.0,1499.0,120.0,214.0,87500.0,694.0
14977.0,24799,272.0,414.0,98100.0,693.0,72,00637,17405.0,22383.0,336.0,467.0,95800.0,725.0
12588.0,18365,273.0,356.0,109000.0,780.0,72,00638,16843.0,16412.0,280.0,378.0,89600.0,638.0
15542.0,30183,292.0,400.0,102300.0,661.0,72,00641,15792.0,26712.0,309.0,396.0,90200.0,748.0
27924.0,38305,549.0,666.0,150300.0,1191.0,72,00646,30573.0,37095.0,531.0,653.0,135100.0,1234.0
13668.0,5245,388.0,494.0,85500.0,603.0,72,00647,14223.0,5809.0,379.0,713.0,85900.0,637.0
15090.0,14679,316.0,430.0,95000.0,650.0,72,00650,19764.0,14534.0,403.0,535.0,92400.0,665.0
14903.0,3831,316.0,398.0,110500.0,834.0,72,00652,21987.0,3565.0,432.0,620.0,93400.0,663.0
13596.0,13427,260.0,354.0,88700.0,627.0,72,00653,12072.0,10484.0,269.0,338.0,89800.0,686.0
15440.0,20839,268.0,336.0,86100.0,732.0,72,00656,17355.0,18485.0,259.0,349.0,79800.0,698.0
19130.0,41830,319.0,432.0,135200.0,791.0,72,00659,17715.0,39950.0,327.0,456.0,93000.0,818.0
21323.0,17023,364.0,454.0,106100.0,739.0,72,00660,19030.0,15943.0,346.0,424.0,98700.0,732.0
16050.0,43101,352.0,467.0,106600.0,748.0,72,00662,16834.0,39700.0,347.0,453.0,103800.0,759.0
15976.0,16298,312.0,413.0,92700.0,612.0,72,00664,14595.0,14693.0,287.0,376.0,94100.0,744.0
13527.0,25510,322.0,439.0,98400.0,709.0,72,00667,14013.0,23186.0,318.0,452.0,87200.0,686.0
11967.0,28442,296.0,405.0,97600.0,655.0,72,00669,16922.0,24803.0,324.0,439.0,85800.0,670.0
14989.0,9478,219.0,294.0,88600.0,688.0,72,00670,14245.0,8364.0,227.0,280.0,85000.0,669.0
18796.0,43240,320.0,447.0,115800.0,875.0,72,00674,18299.0,38971.0,406.0,526.0,105000.0,798.0
15277.0,39513,312.0,402.0,95000.0,766.0,72,00676,14992.0,36299.0,327.0,421.0,93800.0,816.0
16737.0,15012,350.0,440.0,124400.0,821.0,72,00677,19943.0,14093.0,365.0,450.0,121700.0,943.0
14824.0,27045,292.0,393.0,120000.0,759.0,72,00678,17144.0,25624.0,337.0,463.0,101400.0,669.0
15173.0,54824,305.0,398.0,91300.0,717.0,72,00680,14217.0,45190.0,333.0,422.0,87400.0,757.0
15868.0,31908,267.0,355.0,114100.0,884.0,72,00682,14706.0,31735.0,347.0,412.0,112600.0,857.0
15030.0,33050,289.0,373.0,109000.0,762.0,72,00683,16332.0,29487.0,320.0,407.0,82300.0,736.0
14686.0,41403,271.0,359.0,110900.0,697.0,72,00685,15185.0,37058.0,290.0,401.0,98000.0,792.0
16086.0,32484,313.0,455.0,97300.0,734.0,72,00687,20941.0,30962.0,366.0,503.0,105700.0,724.0
14135.0,13251,365.0,510.0,95100.0,703.0,72,00688,17874.0,12139.0,330.0,443.0,90900.0,798.0
19688.0,5906,394.0,486.0,117500.0,733.0,72,00690,18288.0,5722.0,478.0,625.0,117400.0,768.0
18003.0,37329,381.0,510.0,124500.0,894.0,72,00692,20585.0,35135.0,418.0,527.0,115700.0,935.0
16709.0,59513,402.0,542.0,119700.0,870.0,72,00693,19576.0,53360.0,387.0,494.0,106200.0,854.0
11250.0,134,-666666666.0,-666666666.0,164100.0,-666666666.0,72,00694,-666666666.0,64.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
15414.0,40276,298.0,406.0,93700.0,759.0,72,00698,14794.0,35317.0,276.0,365.0,91000.0,712.0
14968.0,28739,343.0,442.0,100500.0,809.0,72,00703,18846.0,26097.0,378.0,453.0,114100.0,840.0
12341.0,8100,259.0,370.0,85300.0,629.0,72,00704,17275.0,8108.0,379.0,487.0,77600.0,664.0
16744.0,25090,274.0,395.0,124000.0,784.0,72,00705,20214.0,22662.0,358.0,470.0,112500.0,802.0
17866.0,11904,266.0,337.0,99800.0,727.0,72,00707,20760.0,10721.0,336.0,398.0,87600.0,709.0
15901.0,19229,310.0,448.0,90100.0,635.0,72,00714,17615.0,17739.0,326.0,471.0,89400.0,671.0
13534.0,3714,249.0,308.0,90900.0,847.0,72,00715,12188.0,2818.0,218.0,316.0,82200.0,615.0
18609.0,31362,263.0,352.0,116300.0,831.0,72,00716,17969.0,27513.0,305.0,374.0,112600.0,844.0
