Zipcode,Household Income,Income per Capita,Population,Median Contract Rent,Median Gross Rent,Median Home Value,Median Monthly Owner Costs,Median Age,Year,MA,MANAME
601,11757,7041,17599,291,373,82500,748,38.9,2017,,
602,16190,8978,39209,304,380,87300,846,40.9,2017,,
603,16645,10897,50135,306,400,122300,867,40.4,2017,,
606,13387,5960,6304,185,284,92700,538,42.8,2017,,
610,18741,9266,27590,322,415,90300,733,41.4,2017,,
612,17744,10283,62566,310,395,97300,757,41.4,2017,,
616,14918,9002,10687,327,509,92900,622,43.7,2017,,
617,17157,8762,24508,375,478,101900,715,38.7,2017,,
622,16727,11935,7405,392,538,135500,905,48.4,2017,,
623,16401,9101,42321,352,422,111800,763,41.3,2017,,
624,16832,8072,23238,333,431,77600,670,37.2,2017,,
627,17579,9738,32936,334,419,108300,744,40.1,2017,,
631,9632,7690,1555,138,223,86300,755,48.2,2017,,
637,15736,9158,23610,329,464,95800,664,40.9,2017,,
638,14448,8108,17202,281,372,96500,717,40.3,2017,,
641,16292,8305,28332,293,387,94200,674,41.9,2017,,
646,29160,15397,38008,573,694,142900,1179,39.4,2017,,
647,13071,7058,5610,400,525,84400,574,47.1,2017,,
650,16095,7698,14664,362,524,93900,684,38.6,2017,,
652,20564,11439,3681,283,373,98200,653,38.8,2017,,
653,12236,7279,11717,286,400,89800,645,38.7,2017,,
656,14966,8327,19546,254,342,82200,690,40.3,2017,,
659,17770,10360,40978,328,436,97500,774,40.7,2017,,
660,19674,11588,16474,332,393,104700,746,45.1,2017,,
662,16771,8883,41341,361,483,103800,739,40.6,2017,,
664,15401,7134,15396,281,384,90400,622,36.3,2017,,
667,13843,7256,24089,293,417,92000,773,43.6,2017,,
669,12996,8236,26510,305,407,86400,650,40.9,2017,,
670,14456,7293,8797,240,314,73100,746,40.1,2017,,
674,18032,10520,40826,345,471,105900,819,41.1,2017,,
676,13416,7893,37862,324,424,97400,815,38.6,2017,,
677,18333,10236,14569,346,444,121900,849,44.6,2017,,
678,15730,9103,26642,319,445,108800,750,39.3,2017,,
680,14500,10277,48035,323,410,92500,766,41.6,2017,,
682,15315,11236,32820,336,409,112800,900,37.3,2017,,
683,15043,9547,31627,310,391,95100,750,42.9,2017,,
685,14128,8080,38849,289,395,99800,767,42.6,2017,,
687,18739,8816,31785,348,489,98000,722,37,2017,,
688,15918,8636,12360,302,418,95800,760,40.7,2017,,
690,18491,10644,5587,439,560,112900,745,41.9,2017,,
692,18076,10586,36218,382,502,120400,936,37.6,2017,,
693,18971,10209,56327,398,511,114200,840,40,2017,,
698,14487,8139,37493,273,379,91500,759,42,2017,,
703,16532,10235,27137,358,445,111200,826,40.2,2017,,
704,13960,7585,7842,264,345,82200,595,36,2017,,
705,18207,10172,23831,309,443,109300,780,40.6,2017,,
707,17489,8761,11240,330,390,90800,700,43.5,2017,,
714,15820,7685,18363,325,467,87500,624,38.8,2017,,
715,12440,7579,3645,225,314,82100,806,41.3,2017,,
716,18514,13034,29191,294,391,112300,853,42.2,2017,,
717,11269,9711,17285,185,276,103900,830,36.9,2017,,
718,18998,10107,26073,343,430,92100,727,36.9,2017,,
719,18401,9006,29684,402,478,94700,725,39,2017,,
720,14533,7326,21753,272,375,89700,755,37.5,2017,,
723,14554,8723,17826,221,332,94900,692,43.3,2017,,
725,20374,12575,82822,389,487,125600,899,40.4,2017,,
727,30797,15666,56023,520,688,143700,972,38.8,2017,,
728,18097,9181,40326,336,428,97100,757,37.7,2017,,
729,20508,11066,52244,431,530,114800,864,38.9,2017,,
730,15367,10834,32735,253,354,94000,772,41.3,2017,,
731,16389,9432,13862,337,434,83600,768,39.8,2017,,
735,18947,11580,12749,362,473,93500,716,40.7,2017,,
736,20166,12391,48476,366,464,119100,865,41.3,2017,,
738,19284,11081,31558,375,475,103600,792,40.7,2017,,
739,20619,11107,37380,400,519,117900,873,38.5,2017,,
740,12934,7125,1517,350,568,72000,668,36.5,2017,,
741,22766,9385,5168,381,505,85800,683,41,2017,,
745,22909,10927,52624,392,553,115200,865,40.1,2017,,
751,16188,8951,22174,279,393,87600,735,39.5,2017,,
754,18594,10482,38636,368,483,111000,881,40.1,2017,,
757,16816,10478,22475,311,435,92800,778,37.2,2017,,
765,16149,11211,8721,491,646,104500,1372,41.3,2017,,
766,19595,10406,23931,300,385,93500,768,37.8,2017,,
767,15573,8668,35042,322,428,87700,678,41.6,2017,,
769,19215,10328,39605,350,457,88500,705,39.4,2017,,
771,20332,10254,37705,392,517,115100,871,38,2017,,
772,15032,7516,20784,271,372,94500,752,37.2,2017,,
773,19377,10434,18952,370,484,109200,785,39.8,2017,,
775,23092,11291,1480,451,604,89900,1141,39.1,2017,,
777,18684,9220,40611,328,407,113100,798,37.7,2017,,
778,32708,16622,46852,500,676,147900,1108,38.3,2017,,
782,13073,6996,18196,301,388,89100,727,37.7,2017,,
783,14476,7823,34240,354,513,88500,686,37.9,2017,,
784,15653,9317,41417,273,380,90700,728,37.6,2017,,
791,18595,11926,49551,343,433,99400,811,41.3,2017,,
794,15667,7702,29296,303,416,90600,762,35.4,2017,,
795,20430,10164,45573,346,445,92500,757,37.8,2017,,
901,16929,27466,6540,434,506,242200,1761,41.3,2017,,
907,32601,38603,16819,610,735,233800,1476,48.6,2017,,
909,17959,15141,5430,374,443,136200,1063,38.7,2017,,
911,30978,28595,7617,602,682,292500,1397,47.8,2017,,
912,21744,15777,5920,448,571,130400,888,42.4,2017,,
913,5902,7158,8495,113,184,401400,1938,26.2,2017,,
915,14048,9136,27534,326,404,94200,784,38.9,2017,,
917,15508,13829,18316,351,442,113100,943,45.9,2017,,
918,23333,20852,16595,248,298,179800,1207,42.3,2017,,
920,25433,14906,16698,521,621,152800,1060,45,2017,,
921,18690,12707,35161,438,512,140900,970,38.7,2017,,
923,14041,10907,24754,311,359,112800,916,39.3,2017,,
924,19303,12558,51699,307,382,133100,916,38.2,2017,,
925,9903,10804,6796,406,448,122600,871,34.6,2017,,
926,33624,22687,99106,498,597,176400,1275,43,2017,,
927,32932,25107,13503,386,512,197000,1494,45.9,2017,,
949,26032,12924,76058,488,573,135100,938,39,2017,,
952,15434,8998,8467,477,532,105800,831,42.3,2017,,
953,29837,14360,72608,488,627,143400,1131,37.1,2017,,
956,23322,12226,68452,470,572,131000,917,40.4,2017,,
957,24438,13000,40738,416,521,133800,923,40.2,2017,,
959,29737,15979,47849,478,575,144500,1002,40.2,2017,,
961,28455,16714,31017,424,495,151900,1025,42.3,2017,,
962,16135,9871,19864,237,338,112700,836,37.1,2017,,
965,15369,11228,7659,338,435,101500,733,41.7,2017,,
966,51318,36677,16169,630,807,235800,1788,45.3,2017,,
968,45811,43889,3368,784,883,219700,1571,58.1,2017,,
969,51604,27897,43216,657,814,234100,1628,40.4,2017,,
971,20604,14718,27449,445,544,139900,1118,43.6,2017,,
976,30801,16208,60134,410,531,152400,1086,39.4,2017,,
979,34284,29494,15203,658,799,172000,1211,48.4,2017,,
982,25935,14037,14514,518,603,139700,919,44.3,2017,,
983,27149,13585,36687,503,571,142300,971,41.1,2017,,
985,24834,13531,32750,429,493,138500,956,41.5,2017,,
987,32967,16557,58583,553,667,150600,1090,38.7,2017,,
1001,57694,33135,17537,881,1034,209400,1516,45.8,2017,44140,Springfield MA
1002,52379,27657,30280,1170,1278,344600,2222,23.6,2017,44140,Springfield MA
1005,70325,35334,5014,777,945,222000,1612,45.4,2017,49340,Worcester MA-CT
1007,86165,39308,14906,831,970,263900,1746,43.8,2017,44140,Springfield MA
1010,86523,39077,3724,730,743,270100,1661,48.1,2017,44140,Springfield MA
1011,75263,30903,1507,725,900,202600,1443,39.9,2017,44140,Springfield MA
1012,70114,37778,531,963,1203,250000,1382,43.2,2017,44140,Springfield MA
1013,39868,21738,23026,750,860,175700,1406,35,2017,44140,Springfield MA
1020,58780,30076,30148,782,889,180400,1393,44.2,2017,44140,Springfield MA
1022,43349,25748,2604,1211,1226,124100,1086,37.6,2017,44140,Springfield MA
1026,51442,30925,958,681,829,253000,1552,49.5,2017,44140,Springfield MA
1027,63699,34386,17870,827,937,249800,1657,44.9,2017,44140,Springfield MA
1028,85221,38320,16156,773,928,256500,1770,45.9,2017,44140,Springfield MA
1029,50750,31970,728,550,632,266200,1016,47.3,2017,38340,Pittsfield MA
1030,71716,33551,11211,705,819,240500,1601,45.1,2017,44140,Springfield MA
