Household Income_2014,Population_2014,Median Contract Rent_2014,Median Gross Rent_2014,Median Home Value_2014,Median Monthly Owner Costs_2014,state,Zipcode,Household Income_2019,Population_2019,Median Contract Rent_2019,Median Gross Rent_2019,Median Home Value_2019,Median Monthly Owner Costs_2019,MA,MANAME,2009 H%,2010 H%,2011 H%,2012 H%,2013 H%,2014 H%,2015 H%,2016 H%,2017 H%,2018 H%,2019 H%,2020 H%,Average H%_2014,Average H%_2019,Weighted Cost_2014,Weighted Cost_2019,Affordability_2014,Affordability_2019,Population Growth,Population Growth %,Change in Income,Change in Income %,Change in Weighted Cost,Change in Weighted Cost %,Change in Affordability,Change in Affordability %
51121.0,18121.0,549.0,717.0,145400.0,1271.0,37,27501,57271.0,21055.0,644.0,864.0,166900.0,1288.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1082.8616,1145.112,0.2541878914731715,0.2399354647203646,2934.0,0.16191159428287621,6150.0,0.12030281097787603,62.25040000000013,0.05748694015929656,-0.014252426752806913,-0.05607043935179422
95857.0,33385.0,931.0,1102.0,267800.0,1709.0,37,27502,115685.0,41455.0,1251.0,1431.0,329800.0,1866.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1502.8628,1719.405,0.1881380973742137,0.17835380559277347,8070.0,0.24172532574509512,19828.0,0.206849786661381,216.54219999999987,0.14408647283038734,-0.009784291781440219,-0.052005903737715055
45316.0,14891.0,579.0,797.0,130700.0,1112.0,37,27504,50911.0,15593.0,562.0,766.0,127000.0,1117.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1005.0260000000001,998.713,0.26613805278488833,0.23540209385005206,702.0,0.04714256933718353,5595.0,0.12346632535969636,-6.313000000000102,-0.006281429535156405,-0.03073595893483627,-0.11548877965106048
31393.0,1802.0,335.0,488.0,89700.0,1294.0,37,27508,54375.0,1413.0,522.0,686.0,108000.0,914.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1020.2824,837.164,0.39000378428312044,0.1847534344827586,-389.0,-0.21587125416204217,22982.0,0.7320740292421878,-183.11840000000007,-0.1794781523233176,-0.20525034980036183,-0.526277841579511
67392.0,33897.0,735.0,879.0,209600.0,1472.0,37,27511,78182.0,34078.0,911.0,1099.0,250500.0,1507.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1270.6172,1369.5040000000001,0.22624950142450143,0.21020245069197513,181.0,0.005339705578664779,10790.0,0.16010802469135801,98.88680000000022,0.07782579993407945,-0.016047050732526297,-0.07092634737973615
87262.0,41090.0,839.0,979.0,263600.0,1654.0,37,27513,96913.0,45542.0,1063.0,1185.0,321900.0,1735.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1424.77,1549.65,0.19592995805734453,0.19188137814328315,4452.0,0.10834752981260648,9651.0,0.1105979693337306,124.88000000000011,0.08764923461330608,-0.004048579914061379,-0.02066340417873435
98247.0,21348.0,954.0,1064.0,362800.0,2092.0,37,27518,106721.0,20102.0,1182.0,1290.0,411000.0,2214.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1742.8912,1902.6119999999999,0.2128787077468014,0.2139348769220678,-1246.0,-0.058366123290237965,8474.0,0.0862519975164636,159.72079999999983,0.09164129120624387,0.0010561691752664082,0.00496136596489781
121815.0,44115.0,973.0,1129.0,361100.0,2153.0,37,27519,133227.0,56482.0,1294.0,1464.0,415400.0,2293.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1805.2496,2013.6270000000002,0.17783520256126095,0.1813710734310613,12367.0,0.28033548679587444,11412.0,0.09368304396010343,208.37740000000008,0.11542858117791582,0.0035358708698003394,0.019882851195236764
58455.0,39804.0,779.0,971.0,151900.0,1314.0,37,27520,71008.0,42387.0,780.0,989.0,169800.0,1279.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1197.5172,1181.27,0.24583365665896845,0.19962877422262282,2583.0,0.06489297558034368,12553.0,0.2147463861089727,-16.24720000000002,-0.013567404292815185,-0.04620488243634563,-0.18795181694930865
59221.0,11928.0,634.0,860.0,147100.0,1299.0,37,27522,64573.0,12552.0,795.0,1040.0,158600.0,1376.0,39580.0,Raleigh NC,67.4,65.9,68.2,64.9,63.0,68.2,65.7,65.9,66.7,67.7,65.5,65.5,66.03999999999999,66.3,1149.9156,1262.768,0.23300834501274886,0.23466798816842951,624.0,0.052313883299798795,5352.0,0.09037334729234563,112.85239999999999,0.09813972434150818,0.0016596431556806512,0.007122676896356846
